YYYY-Mon-Day,RA,DEC,dRA,dDEC,Parts,Rate,RLI,CRLI
2019-Oct-21,111.72029166666665,22.360361111111107,14.886875000000032,-1.537055555555554,14.966014400851353,0.13085469180013298,1.2315520715462043,0.0
2019-Oct-22,126.60716666666669,20.823305555555553,14.817708333333329,-2.889805555555551,15.096869092651486,0.037378604298085705,1.3624067633463373,1.2315520715462043
2019-Oct-23,141.42487500000001,17.933500000000002,14.570583333333332,-4.091888888888894,15.134247696949572,-0.006281016536734185,1.399785367644423,2.5939588348925415
2019-Oct-24,155.99545833333335,13.841611111111108,14.264458333333351,-5.037916666666662,15.127966680412838,-0.021996924128506734,1.3935043511076888,3.9937442025369645
2019-Oct-25,170.2599166666667,8.803694444444446,14.010166666666635,-5.648500000000001,15.105969756284331,-0.0345845570119625,1.371507426979182,5.387248553644653
2019-Oct-26,184.27008333333333,3.1551944444444446,13.879416666666685,-5.874388888888889,15.071385199272369,-0.05426331860239131,1.3369228699672195,6.758755980623835
2019-Oct-27,198.14950000000002,-2.7191944444444442,13.893625000000014,-5.6992222222222235,15.017121880669977,-0.07968662766575108,1.2826595513648282,8.095678850591055
2019-Oct-28,212.04312500000003,-8.418416666666667,14.02437500000002,-5.142361111111107,14.937435253004226,-0.11272680282842273,1.2029729236990772,9.378338401955883
2019-Oct-29,226.06750000000005,-13.560777777777774,14.199666666666587,-4.259277777777784,14.824708450175804,-0.1657251214827049,1.0902461208706544,10.58131132565496
2019-Oct-30,240.26716666666664,-17.82005555555556,14.31937499999998,-3.137083333333333,14.658983328693099,-0.24897212232032828,0.9245209993879495,11.671557446525615
2019-Oct-31,254.58654166666662,-20.957138888888892,14.286291666666784,-1.884222222222217,14.41001120637277,-0.3533319661558778,0.6755488770676212,12.596078445913564
2019-Nov-01,268.8728333333334,-22.84136111111111,14.043333333333294,-0.6123888888888906,14.056679240216893,-0.44530231397889963,0.3222169109117434,13.271627322981185
2019-Nov-02,282.9161666666667,-23.45375,13.598874999999964,0.5832500000000032,13.611376926237993,-0.4893475559700651,-0.12308540306715621,13.593844233892929
2019-Nov-03,296.51504166666666,-22.870499999999996,13.019208333333324,1.6394722222222136,13.122029370267928,-0.46892708152009277,-0.6124329590372213,13.470758830825773
2019-Nov-04,309.53425,-21.231027777777783,12.397958333333406,2.5281666666666744,12.653102288747835,-0.3926035126846923,-1.081360040557314,12.858325871788551
2019-Nov-05,321.9322083333334,-18.70286111111111,11.82254166666661,3.2476666666666603,12.260498776063143,-0.28055745618278927,-1.4739635532420063,11.776965831231237
2019-Nov-06,333.75475,-15.455194444444448,11.357999999999947,3.8098333333333354,11.979941319880353,-0.1536604560818482,-1.7545210094247956,10.303002277989231
2019-Nov-07,345.11274999999995,-11.645361111111113,11.044583333333435,4.22825,11.826280863798505,-0.025783917524980993,-1.9081814655066438,8.548481268564435
2019-Nov-08,356.1573333333334,-7.4171111111111125,10.904499999999928,4.51038888888889,11.800496946273524,0.09621885414135356,-1.9339653830316248,6.6402998030577916
2019-Nov-09,7.061833333333334,-2.906722222222222,10.948624999999998,4.653972222222222,11.896715800414878,0.2098283786673374,-1.8377465288902712,4.706334420026167
2019-Nov-10,18.010458333333332,1.7472500000000002,11.179791666666667,4.6455,12.106544179082215,0.314512260055162,-1.6279181502229338,2.8685878911358955
2019-Nov-11,29.19025,6.39275,11.592041666666667,4.461749999999999,12.421056439137377,0.4069368217987872,-1.3134058901677719,1.2406697409129617
2019-Nov-12,40.782291666666666,10.8545,12.164166666666674,4.07313888888889,12.827993260936164,0.4768417713410553,-0.9064690683689847,-0.0727361492548102
2019-Nov-13,52.94645833333334,14.92763888888889,12.84941666666667,3.451249999999998,13.30483503227722,0.5042967708190762,-0.42962729702792934,-0.9792052176237949
2019-Nov-14,65.79587500000001,18.378888888888888,13.56579166666667,2.580972222222222,13.809131803096296,0.4650730418753195,0.07466947379114686,-1.4088325146517242
2019-Nov-15,79.36166666666668,20.95986111111111,14.197708333333324,1.4758055555555565,14.274204844971615,0.3501221870548452,0.5397425156664664,-1.3341630408605774
2019-Nov-16,93.559375,22.435666666666666,14.623083333333312,0.1907222222222238,14.62432703202646,0.18596474159347842,0.8898647027213116,-0.794420525194111
2019-Nov-17,108.18245833333332,22.62638888888889,14.763333333333378,-1.1784444444444446,14.810291773619939,0.029853186972173873,1.07582944431479,0.09544417752720058
2019-Nov-18,122.9457916666667,21.447944444444445,14.625666666666618,-2.513916666666667,14.840144960592113,-0.06593960383566078,1.1056826312869639,1.1712736218419906
2019-Nov-19,137.5714583333333,18.93402777777778,14.302166666666665,-3.7047500000000024,14.774205356756452,-0.0874146302979888,1.039743027451303,2.2769562531289544
2019-Nov-20,151.87362499999998,15.229277777777776,13.925791666666697,-4.6662777777777755,14.686790726458463,-0.0573525151639096,0.9523283971533143,3.3166992805802575
2019-Nov-21,165.79941666666667,10.563,13.618916666666621,-5.342805555555557,14.629438211294554,-0.009272763427889075,0.8949758819894047,4.269027677733572
2019-Nov-22,179.4183333333333,5.220194444444443,13.463666666666683,-5.6990277777777765,14.620165447866665,0.03307220964152613,0.8857031185615156,5.1640035597229765
2019-Nov-23,192.88199999999998,-0.4788333333333334,13.494041666666703,-5.712111111111112,14.65323765750819,0.058658512196714696,0.9187753282030418,6.049706678284492
2019-Nov-24,206.37604166666668,-6.190944444444445,13.696083333333291,-5.371888888888887,14.711896169704906,0.0599786774562876,0.9774338403997564,6.968482006487534
