YYYY-Mon-Day,RA,DEC,dRA,dDEC,Parts,Rate,RLI,CRLI
2019-Oct-21,112.81641666666668,22.023416666666662,14.710999999999984,-1.6082222222222136,14.798645198667643,0.07427988023925813,1.0706595039165592,0.0
2019-Oct-22,127.52741666666667,20.41519444444445,14.58475,-2.9135833333333423,14.872925078906901,-0.002288657283761708,1.1449393841558173,1.0706595039165592
2019-Oct-23,142.11216666666667,17.501611111111107,14.305749999999989,-4.059722222222222,14.87063642162314,-0.029396217896177745,1.1426507268720556,2.2155988880723765
2019-Oct-24,156.41791666666666,13.441888888888885,13.989416666666642,-4.955666666666664,14.841240203726962,-0.02942612364931385,1.1132545089758779,3.358249614944432
2019-Oct-25,170.4073333333333,8.48622222222222,13.738875000000036,-5.5347222222222205,14.811814080077648,-0.026165838338883418,1.083828385326564,4.47150412392031
2019-Oct-26,184.14620833333333,2.9515000000000002,13.619374999999962,-5.755694444444444,14.785648241738764,-0.030070421620813192,1.0576625469876806,5.555332509246874
2019-Oct-27,197.7655833333333,-2.804194444444444,13.650333333333379,-5.603166666666667,14.755577820117951,-0.041164452363920745,1.0275921253668674,6.6129950562345545
2019-Oct-28,211.41591666666667,-8.407361111111111,13.805875000000043,-5.090361111111108,14.71441336775403,-0.06236092472065913,0.9864276730029466,7.640587181601422
2019-Oct-29,225.22179166666672,-13.497722222222219,14.018791666666573,-4.261000000000003,14.652052443033371,-0.10553948997944929,0.9240667482822875,8.627014854604369
2019-Oct-30,239.2405833333333,-17.75872222222222,14.192750000000046,-3.18855555555556,14.546512953053922,-0.18270743555137337,0.8185272583028382,9.551081602886656
2019-Oct-31,253.43333333333334,-20.94727777777778,14.228124999999977,-1.969611111111103,14.363805517502549,-0.28710398895533196,0.6358198227514649,10.369608861189494
2019-Nov-01,267.6614583333333,-22.916888888888884,14.05879166666665,-0.7098611111111133,14.076701528547217,-0.3873344804803107,0.3487158337961329,11.00542868394096
2019-Nov-02,281.72024999999996,-23.626749999999998,13.680416666666758,0.4949444444444424,13.689367048066906,-0.44512125942227065,-0.038618646684177804,11.354144517737092
2019-Nov-03,295.4006666666667,-23.131805555555555,13.150166666666678,1.5758055555555543,13.244245788644635,-0.4390688508519158,-0.48373990610644846,11.315525871052914
2019-Nov-04,308.5508333333334,-21.556,12.559333333333313,2.497138888888891,12.80517693779272,-0.3735416068810533,-0.9228087569583643,10.831785964946466
2019-Nov-05,321.1101666666667,-19.05886111111111,11.999083333333317,3.2507777777777758,12.431635330911666,-0.26818882399198074,-1.2963503638394176,9.908977207988102
2019-Nov-06,333.10925000000003,-15.808083333333334,11.539999999999964,3.8441944444444456,12.163446506919685,-0.14430087069228748,-1.5645391878313983,8.612626844148684
2019-Nov-07,344.64925,-11.963888888888889,11.228166666666596,4.28813888888889,12.019145636227398,-0.017787987260998506,-1.7088400585236858,7.048087656317286
2019-Nov-08,355.8774166666666,-7.675749999999999,11.08962500000007,4.588333333333332,12.0013576489664,0.10289460977509357,-1.7266280457846843,5.3392475977936
2019-Nov-09,6.967041666666668,-3.087416666666667,11.13729166666667,4.740638888888889,12.104252258741493,0.21457981598775255,-1.6237334360095907,3.6126195520089155
2019-Nov-10,18.104333333333336,1.6532222222222224,11.374541666666666,4.730055555555556,12.318832074729245,0.31570450251033577,-1.4091536200218382,1.9888861159993247
2019-Nov-11,29.478875000000002,6.383277777777779,11.793833333333332,4.5317777777777755,12.634536577239581,0.4020253201679651,-1.0934491175115024,0.5797324959774866
2019-Nov-12,41.272708333333334,10.915055555555554,12.369833333333332,4.115722222222221,13.036561897407546,0.46232515094478543,-0.6914237973435373,-0.5137166215340159
2019-Nov-13,53.642541666666666,15.030777777777775,13.049124999999997,3.455472222222223,13.498887048352332,0.4750078456796061,-0.22909864639875188,-1.2051404188775532
2019-Nov-14,66.69166666666666,18.48625,13.740874999999988,2.5412777777777826,13.973894894031938,0.4174611168244482,0.2459091992808542,-1.434239065276305
2019-Nov-15,80.43254166666665,21.02752777777778,14.323458333333363,1.39630555555555,14.391356010856386,0.28506852060827015,0.6633703161053024,-1.1883298659954509
2019-Nov-16,94.75600000000001,22.42383333333333,14.67616666666666,0.0870000000000033,14.676424531464656,0.11181770242016853,0.9484388367135725,-0.5249595498901485
2019-Nov-17,109.43216666666667,22.510833333333334,14.73258333333331,-1.281833333333335,14.788242233884825,-0.04174172024025147,1.060256539133741,0.42347928682342406
2019-Nov-18,124.16474999999998,21.229,14.517083333333332,-2.5910555555555526,14.746500513644573,-0.12668945760707473,1.0185148188934896,1.4837358259571651
2019-Nov-19,138.68183333333332,18.637944444444447,14.134375000000006,-3.7360833333333314,14.619811056037499,-0.1356201725139119,0.8918253612864149,2.5022506448506547
2019-Nov-20,152.81620833333332,14.901861111111115,13.719541666666686,-4.643916666666669,14.484190883523587,-0.09402869248308399,0.756205188772503,3.3940760061370696
2019-Nov-21,166.53575,10.257944444444446,13.389958333333311,-5.2712222222222245,14.390162191040503,-0.03525916337630797,0.662176496289419,4.150281194909573
2019-Nov-22,179.92570833333332,4.986722222222221,13.220416666666694,-5.5931944444444435,14.354903027664195,0.0186452330340785,0.626917332913111,4.812457691198992
2019-Nov-23,193.146125,-0.6064722222222223,13.240166666666624,-5.594361111111112,14.373548260698273,0.05700818527670748,0.6455625659471895,5.439375024112103
2019-Nov-24,206.38629166666664,-6.200833333333334,13.434874999999977,-5.267361111111111,14.43055644597498,0.07236397334878752,0.702570751223897,6.084937590059292
