YYYY-Mon-Day,RA,DEC,dRA,dDEC,Parts,Rate,RLI,CRLI
2019-Oct-21,111.44941666666668,23.37847222222222,14.848666666666631,-1.482805555555558,14.92252036665935,0.14518636236725513,1.1869569187970725,0.0
2019-Oct-22,126.29808333333331,21.895666666666664,14.800125000000051,-2.827027777777772,15.067706729026606,0.053783933952445295,1.3321432811643277,1.1869569187970725
2019-Oct-23,141.09820833333336,19.06863888888889,14.573541666666642,-4.033777777777781,15.12149066297905,0.012568968169983208,1.385927215116773,2.5191001999614
2019-Oct-24,155.67175,15.03486111111111,14.28495833333335,-4.997972222222222,15.134059631149034,-0.00029208198098906735,1.3984961832867562,3.905027415078173
2019-Oct-25,169.95670833333335,10.036888888888889,14.044833333333287,-5.636805555555555,15.133767549168045,-0.011940614762762536,1.398204101305767,5.303523598364929
2019-Oct-26,184.00154166666664,4.400083333333334,13.925666666666672,-5.894527777777778,15.121826934405282,-0.03442305358971254,1.3862634865430046,6.7017276996706965
2019-Oct-27,197.9272083333333,-1.4944444444444445,13.95004166666672,-5.746833333333335,15.08740388081557,-0.0664313231506437,1.351840432953292,8.087991186213701
2019-Oct-28,211.87725000000003,-7.241277777777779,14.089874999999921,-5.20625,15.020972557664926,-0.10813413609643163,1.2854091098026483,9.439831619166993
2019-Oct-29,225.96712499999995,-12.447527777777779,14.271916666666698,-4.324944444444441,14.912838421568495,-0.16889594955458165,1.1772749737062167,10.725240728969641
2019-Oct-30,240.23904166666665,-16.77247222222222,14.394416666666672,-3.19133333333334,14.743942472013913,-0.25838426433145756,1.008379024151635,11.902515702675858
2019-Oct-31,254.63345833333332,-19.96380555555556,14.357958333333357,-1.918444444444443,14.485558207682455,-0.36641444626566155,0.7499947598201775,12.910894726827493
2019-Nov-01,268.9914166666667,-21.882250000000003,14.105333333333306,-0.6243333333333325,14.119143761416794,-0.4597382306798963,0.38358031355451594,13.66088948664767
2019-Nov-02,283.09675,-22.506583333333335,13.646625000000029,0.5907500000000034,13.659405530736898,-0.5026890233045691,-0.07615791712538034,14.044469800202187
2019-Nov-03,296.743375,-21.91583333333333,13.051499999999919,1.660583333333335,13.156716507432328,-0.48042501196235854,-0.5788469404299494,13.968311883076806
2019-Nov-04,309.79487499999993,-20.255249999999997,12.415874999999971,2.5562499999999986,12.67629149546997,-0.401960870656513,-1.059271952392308,13.389464942646857
2019-Nov-05,322.2107499999999,-17.698999999999998,11.828875000000153,3.276722222222217,12.274330624813457,-0.28880077712058316,-1.461232823048821,12.330192990254549
2019-Nov-06,334.03962500000006,-14.422277777777781,11.3554166666666,3.83502777777778,11.985529847692874,-0.1616812603309281,-1.7500336001694041,10.868960167205728
2019-Nov-07,345.39504166666666,-10.587250000000001,11.0352083333334,4.2458888888888895,11.823848587361946,-0.03439493830074092,-1.9117148605003322,9.118926567036324
2019-Nov-08,356.43025000000006,-6.3413611111111114,10.889416666666591,4.517944444444445,11.789453649061205,0.08661841541177928,-1.9461097988010732,7.2072117065359915
2019-Nov-09,7.319666666666666,-1.8234166666666665,10.927916666666668,4.649916666666667,11.876072064472984,0.19953219043459036,-1.8594913833892939,5.261101907734918
2019-Nov-10,18.247583333333335,2.8265000000000002,11.152749999999997,4.629944444444443,12.075604254907574,0.30376102119127246,-1.6599591929547035,3.4016105243456245
2019-Nov-11,29.400333333333332,7.456444444444443,11.557125000000003,4.436388888888889,12.379365276098847,0.3964825912615826,-1.356198171763431,1.741651331390921
2019-Nov-12,40.957458333333335,11.892833333333332,12.119583333333324,4.042027777777779,12.77584786736043,0.4674579195095827,-0.9597155805018485,0.38545315962748994
2019-Nov-13,53.07704166666666,15.934861111111111,12.793875,3.420805555555553,13.243305786870012,0.4967066594938778,-0.49225766099226576,-0.5742624208743585
2019-Nov-14,65.87091666666666,19.355666666666664,13.499583333333334,2.5591388888888886,13.74001244636389,0.46055232356395237,0.004448998501612067,-1.0665200818666243
2019-Nov-15,79.37049999999999,21.914805555555553,14.124208333333357,1.4706388888888924,14.200564769927842,0.3499148527512741,0.46500132206556444,-1.0620710833650122
2019-Nov-16,93.49470833333335,23.385444444444445,14.549000000000007,0.20749999999999957,14.550479622679116,0.1903334307804343,0.8149161748168385,-0.5970697612994478
2019-Nov-17,108.04370833333336,23.592944444444445,14.69670833333329,-1.1394444444444431,14.74081305345955,0.03842018739882569,1.0052496055972728,0.21784641351739076
2019-Nov-18,122.74041666666665,22.453500000000002,14.573291666666677,-2.458638888888892,14.779233240858376,-0.05424802690587782,1.0436697929960985,1.2230960191146636
2019-Nov-19,137.31370833333332,19.99486111111111,14.2670416666667,-3.6437222222222196,14.724985213952499,-0.07253249319649946,0.9894217660902207,2.266765812110762
2019-Nov-20,151.58075000000002,16.35113888888889,13.907625000000024,-4.612194444444446,14.652452720756,-0.03890968125193872,0.9168892728937212,3.256187578200983
2019-Nov-21,165.48837500000005,11.738944444444444,13.615666666666641,-5.307472222222221,14.61354303950406,0.012522727957248847,0.8779795916417825,4.173076851094704
2019-Nov-22,179.1040416666667,6.431472222222223,13.473666666666617,-5.6905277777777785,14.62606576746131,0.05609861692127005,0.8905023195990314,5.051056442736487
2019-Nov-23,192.5777083333333,0.7409444444444443,13.516583333333386,-5.733055555555556,14.68216438438258,0.07981727483055323,0.9466009365203014,5.941558762335518
2019-Nov-24,206.0942916666667,-4.992111111111111,13.731666666666683,-5.4182500000000005,14.761981659213133,0.07642341334818781,1.0264182113508546,6.888159698855819
