YYYY-Mon-Day,RA,DEC,dRA,dDEC,Parts,Rate,RLI,CRLI
2019-Oct-21,112.90054166666668,22.82108333333333,14.867208333333295,-1.6239999999999988,14.955643069648826,0.058637981093523805,1.226506442124954,0.0
2019-Oct-22,127.76774999999998,21.19708333333333,14.72225000000006,-2.9468611111111116,15.01428105074235,-0.02684817070832146,1.2851444232184779,1.226506442124954
2019-Oct-23,142.49000000000004,18.25022222222222,14.41512499999996,-4.102111111111105,14.987432880034028,-0.05835906536839808,1.2582962525101564,2.511650865343432
2019-Oct-24,156.905125,14.148111111111115,14.068000000000012,-4.996861111111116,14.92907381466563,-0.06026182692777127,1.1999371871417583,3.7699471178535884
2019-Oct-25,170.973125,9.15125,13.787999999999982,-5.565305555555554,14.868811987737859,-0.058076302609940456,1.139675360213987,4.969884304995347
2019-Oct-26,184.761125,3.585944444444445,13.64091666666664,-5.769166666666667,14.810735685127918,-0.06263591037559912,1.0815990576040466,6.109559665209334
2019-Oct-27,198.40204166666663,-2.1832222222222217,13.644666666666666,-5.597277777777779,14.748099774752319,-0.07397211352299671,1.0189631472284475,7.19115872281338
2019-Oct-28,212.0467083333333,-7.780500000000001,13.771333333333331,-5.067583333333334,14.674127661229322,-0.0943760203434163,0.9449910337054508,8.210121870041828
2019-Oct-29,225.81804166666663,-12.848083333333335,13.953291666666672,-4.227861111111107,14.579751640885906,-0.13486136376523916,0.8506150133620345,9.155112903747279
2019-Oct-30,239.7713333333333,-17.075944444444442,14.09633333333332,-3.154083333333336,14.444890277120667,-0.20587123459520384,0.7157536495967953,10.005727917109313
2019-Oct-31,253.86766666666662,-20.230027777777778,14.105874999999997,-1.9426666666666712,14.239019042525463,-0.3005881262357679,0.5098824150015915,10.721481566706109
2019-Nov-01,267.9735416666666,-22.17269444444445,13.92100000000005,-0.6968611111111045,13.938430916289695,-0.3895101410540658,0.20929428876582357,11.2313639817077
2019-Nov-02,281.89454166666667,-22.869555555555554,13.54000000000002,0.4915833333333275,13.54892077523563,-0.4374782920762357,-0.18021585228824222,11.440658270473524
2019-Nov-03,295.4345416666667,-22.377972222222226,13.01858333333331,1.5576944444444472,13.111442483159394,-0.42559989561851275,-0.6176941443644779,11.260442418185281
2019-Nov-04,308.453125,-20.82027777777778,12.443416666666735,2.468194444444446,12.685842587540881,-0.3579476736902869,-1.0432940399829906,10.642748273820803
